Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
33.8182338,35.4908088,196.75,-0.1585,0.09875,0.98825,0.4,-0.56,0.16,-16730.0,9110.0,-39170.0
33.8182338,35.4908088,196.75,-0.16025,0.114,0.991,-0.1,0.7,0.0,-16730.0,9110.0,-39180.0
33.8182338,35.4908088,196.75,-0.137,0.09525,0.9745,-0.6,0.5,-0.08,-16720.0,9100.0,-39180.0
33.8182338,35.4908088,196.74,-0.1235,0.0845,0.969,-0.1,-0.36,-0.02,-16680.0,9130.0,-39200.0
33.8182338,35.4908088,196.74,-0.14675,0.0925,0.9975,0.5,-0.9,0.12,-16620.0,9170.0,-39230.0
33.8182338,35.4908088,196.74,-0.15725,0.10875,0.98875,0.22,0.14,-0.02,-16640.0,9170.0,-39220.0
33.8182338,35.4908088,196.74,-0.1465,0.109,0.98525,-0.38,0.98,-0.04,-16680.0,9120.0,-39200.0
33.8182338,35.4908088,196.74,-0.13,0.0865,0.96625,-0.52,0.24,-0.02,-16730.0,9070.0,-39180.0
33.8182338,35.4908088,196.74,-0.13525,0.0915,0.99575,0.34,-0.94,0.06,-16740.0,9070.0,-39180.0
33.8182338,35.4908088,196.74,-0.15475,0.0985,0.98925,0.42,-0.68,0.04,-16740.0,9070.0,-39180.0
33.8182338,35.4908088,196.74,-0.15625,0.1095,0.988,-0.08,0.78,-0.02,-16690.0,9100.0,-39200.0
33.8182338,35.4908088,196.74,-0.13025,0.09075,0.97475,-0.58,0.66,-0.1,-16700.0,9090.0,-39200.0
33.8182338,35.4908088,196.74,-0.125,0.0885,0.9745,0.0,-0.38,-0.02,-16740.0,9050.0,-39180.0
33.8182338,35.4908088,196.74,-0.1505,0.0945,0.994,0.64,-0.88,0.0,-16690.0,9100.0,-39200.0
33.8182338,35.4908088,196.74,-0.159,0.11175,0.9915,0.18,0.16,0.0,-16620.0,9160.0,-39230.0
33.8182338,35.4908088,196.74,-0.14475,0.10275,0.98225,-0.46,0.9,-0.1,-16660.0,9110.0,-39220.0
33.8182338,35.4908088,196.74,-0.12825,0.0845,0.964,-0.44,0.3,-0.02,-16710.0,9070.0,-39190.0
